Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Checkout Blocks Rule Trigger (product.metafields.checkoutblocks.trigger),Activity (product.metafields.custom.activity),Badges (product.metafields.custom.badges),Buckle Color (product.metafields.custom.buckle_color),Buckle Material  (product.metafields.custom.buckle_material_),Buckle Width (product.metafields.custom.buckle_width),Bundle (product.metafields.custom.bundle),image with text - text (product.metafields.custom.image_with_text_text),Packs (product.metafields.custom.packs),Other (product.metafields.custom.product),Product Category (product.metafields.custom.product_category),Product Feature (product.metafields.custom.product_feature),Season (product.metafields.custom.season),Shipping (product.metafields.custom.shipping),Sock Color (product.metafields.custom.sock_color),Style (product.metafields.custom.sock_height),Buckle Style (product.metafields.custom.style),Video (product.metafields.custom.video),Warranty (product.metafields.custom.warranty),Wool Info (product.metafields.custom.wool_info),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Product rating count (product.metafields.reviews.rating_count),Hidden Product (product.metafields.seo.hidden),Accessory size (product.metafields.shopify.accessory-size),Activity (product.metafields.shopify.activity),Clothing features (product.metafields.shopify.clothing-features),Color (product.metafields.shopify.color-pattern),Fabric (product.metafields.shopify.fabric),Target gender (product.metafields.shopify.target-gender),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Included / Brunei,Price / Brunei,Compare At Price / Brunei,Included / Canada,Price / Canada,Compare At Price / Canada,Included / International,Price / International,Compare At Price / International,Status
ember-grip6-wallet,Ember Grip6 Wallet,"<p>Introducing the Ember GRIP6 Wallet, a striking blend of style and functionality. This sleek wallet, with its ember red finish, offers RFID protection and a minimalist design. Built for durability and convenience, it securely holds your essentials while adding a bold touch to your everyday carry.</p>",GRIP6,"Apparel & Accessories > Handbags, Wallets & Cases > Wallets & Money Clips",Wallet,"Pack Builder, Redesign, Wallet",true,Loop,Loop,,Add On,Black Money Band,,,,,WLT-RED-LP-BLK,82.27,shopify,42,deny,manual,118.99,,true,true,,https://cdn.shopify.com/s/files/1/1310/9209/files/MasterWalletFileTemplate-26.jpg?v=1714164693,1,red minimalist wallet,false,Ember Wallet | Sleek Red Wallet by GRIP6,"Discover the GRIP6 Ember Wallet. This sleek red wallet features a minimalist design with durable construction, offering secure storage for your cards.",,,,,,,,,,,,,,,,,,,,,,Wallets,crafted-for-makers-by-makers-introducing-the-grip-6-wallet,,shipping,,,,,our-warranty,,,'2,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1310/9209/files/MasterWalletFileTemplate-25_663a3d54-f4fa-4f3c-8ab2-a8180f3bdb29.jpg?v=1728606019,g,PC040209,,true,,,true,,,true,,,true,,,active
ember-grip6-wallet,,,,,,,,,Loop,,,Brown Money Band,,,,,WLT-RED-LP-BRN,82.27,shopify,42,deny,manual,118.99,,true,true,,https://cdn.shopify.com/s/files/1/1310/9209/files/MasterWalletFileTemplate-21.jpg?v=1728606019,2,red RFID wallet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1310/9209/files/MasterWalletFileTemplate-24_2477bb26-c918-4928-a5de-cbebe17410d9.jpg?v=1728606019,g,PC040209,,,,,,,,,,,,,,
ember-grip6-wallet,,,,,,,,,No Loop,,,None,,,,,WLT-RED-NL,61.01,shopify,33,deny,manual,99.00,,true,true,,https://cdn.shopify.com/s/files/1/1310/9209/files/MasterWalletFileTemplate-25_663a3d54-f4fa-4f3c-8ab2-a8180f3bdb29.jpg?v=1728606019,3,small wallet swatch-image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1310/9209/files/MasterWalletFileTemplate-26.jpg?v=1714164693,g,PC040209,,,,,,,,,,,,,,
ember-grip6-wallet,,,,,,,,,No Loop,,,Brown Money Band,,,,,WLT-RED-NL-BRN,82.27,shopify,33,deny,manual,118.99,,true,true,,https://cdn.shopify.com/s/files/1/1310/9209/files/MasterWalletFileTemplate-30_5e502ee0-a4c8-44fc-8551-c745fcc7070d.jpg?v=1728606019,4,metal wallet red swatch-image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1310/9209/files/MasterWalletFileTemplate-29_29c78f08-a678-40dc-936d-25f7916f0726.jpg?v=1728606019,g,PC040209,,,,,,,,,,,,,,
ember-grip6-wallet,,,,,,,,,No Loop,,,Black Money Band,,,,,WLT-RED-NL-BLK,82.27,shopify,33,deny,manual,118.99,,true,true,,https://cdn.shopify.com/s/files/1/1310/9209/files/MasterWalletFileTemplate-24_2477bb26-c918-4928-a5de-cbebe17410d9.jpg?v=1728606019,5,wallet with money band red swatch-image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1310/9209/files/MasterWalletFileTemplate-30_5e502ee0-a4c8-44fc-8551-c745fcc7070d.jpg?v=1728606019,g,PC040209,,,,,,,,,,,,,,
ember-grip6-wallet,,,,,,,,,Loop,,,None,,,,,WLT-RED-LP,61.01,shopify,42,deny,manual,99.00,,true,true,,https://cdn.shopify.com/s/files/1/1310/9209/files/MasterWalletFileTemplate-29_29c78f08-a678-40dc-936d-25f7916f0726.jpg?v=1728606019,6,red metal wallet swatch-image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1310/9209/files/MasterWalletFileTemplate-21.jpg?v=1728606019,g,PC040209,,,,,,,,,,,,,,
flag-wallet,USA Black Flag Wallet,"<p>Show your patriotic pride with the GRIP6 Flag Wallet. Featuring a bold USA flag design, this minimalist wallet offers RFID-blocking technology and a sleek, durable build. Perfect for those who want security and style in one, it’s an ideal everyday companion for the modern adventurer.</p>",GRIP6,"Apparel & Accessories > Handbags, Wallets & Cases > Wallets & Money Clips",Wallet,"Redesign, Wallet",true,Loop,Loop,,Add On,Black Money Band,,,,,WLT-FLG-LP-BLKMB,151.67,shopify,3,deny,manual,118.99,,true,true,,https://cdn.shopify.com/s/files/1/1310/9209/files/MasterWalletFileTemplate-56.jpg?v=1714165431,1,minimalist wallet with USA flag print swatch-image,false,"American Flag Wallet | Sleek, Durable USA Flag Wallet by GRIP6","Carry patriotic pride with the GRIP6 American Flag Wallet. Stylish, durable, and minimalist, featuring a unique clamping system for secure storage.",,,,,,,,,,,,,,,,,,,,,,Wallets,crafted-for-makers-by-makers-introducing-the-grip-6-wallet,,shipping,,,,,our-warranty,,,'3,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1310/9209/files/MasterWalletFileTemplate-55_cd7245d7-9a29-4822-8edb-a248026c91d0.jpg?v=1728606026,g,PC040209,,true,,,true,,,true,,,true,,,active
flag-wallet,,,,,,,,,Loop,,,Brown Money Band,,,,,WLT-FLG-LP-BRNMB,151.67,shopify,3,deny,manual,118.99,,true,true,,https://cdn.shopify.com/s/files/1/1310/9209/files/MasterWalletFileTemplate-78_bfffedf8-80a2-4017-bfa5-0762813c520f.jpg?v=1728606026,2,slim American flag wallet swatch-image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1310/9209/files/MasterWalletFileTemplate-54_a2d0f9a4-6cd7-471c-9ad5-96609271507a.jpg?v=1728606026,g,PC040209,,,,,,,,,,,,,,
flag-wallet,,,,,,,,,No Loop,,,None,,,,,WLT-FLG-NL,130.41,shopify,15,deny,manual,99.00,,true,true,,https://cdn.shopify.com/s/files/1/1310/9209/files/MasterWalletFileTemplate-54_a2d0f9a4-6cd7-471c-9ad5-96609271507a.jpg?v=1728606026,3,American flag rfid wallet swatch-image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1310/9209/files/MasterWalletFileTemplate-56.jpg?v=1714165431,g,PC040209,,,,,,,,,,,,,,
flag-wallet,,,,,,,,,No Loop,,,Brown Money Band,,,,,WLT-FLG-NL-BLKMB,151.67,shopify,15,deny,manual,118.99,,true,true,,https://cdn.shopify.com/s/files/1/1310/9209/files/MasterWalletFileTemplate-59_84e75848-6145-4377-a10c-ebe489f9506c.jpg?v=1728606026,4,metal USA flag wallet swatch-image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1310/9209/files/MasterWalletFileTemplate-59_84e75848-6145-4377-a10c-ebe489f9506c.jpg?v=1728606026,g,PC040209,,,,,,,,,,,,,,
flag-wallet,,,,,,,,,No Loop,,,Black Money Band,,,,,WLT-FLG-NL-BRNMB,151.67,shopify,15,deny,manual,118.99,,true,true,,https://cdn.shopify.com/s/files/1/1310/9209/files/MasterWalletFileTemplate-55_cd7245d7-9a29-4822-8edb-a248026c91d0.jpg?v=1728606026,5,American flag wallet with money band swatch-image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1310/9209/files/MasterWalletFileTemplate-60_a331bcb3-d1de-48cc-b64f-60d3615d5f33.jpg?v=1728606026,g,PC040209,,,,,,,,,,,,,,
flag-wallet,,,,,,,,,Loop,,,None,,,,,WLT-FLG-LP,130.41,shopify,3,deny,manual,99.00,,true,true,,https://cdn.shopify.com/s/files/1/1310/9209/files/MasterWalletFileTemplate-60_a331bcb3-d1de-48cc-b64f-60d3615d5f33.jpg?v=1728606026,6,black American flag wallet swatch-image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1310/9209/files/MasterWalletFileTemplate-78_bfffedf8-80a2-4017-bfa5-0762813c520f.jpg?v=1728606026,g,PC040209,,,,,,,,,,,,,,
premium-pack,Premium Pack: Steel,"<p>Upgrade your wardrobe with the GRIP6 Premium Belt Pack - Steel. This collection features a handpicked selection of our most durable and stylish belts, offering a perfect combination of comfort and strength. With interchangeable buckles and straps, this pack provides versatility for both everyday wear and outdoor adventures.</p>
<p>Buckles: Dark Matter Carbon Fiber, Titanium Contour &amp; ISO Grid</p>
<p>Straps: Raven, Kodiak, Slate Grey</p>",GRIP6,Apparel & Accessories > Clothing Accessories > Belts,Belt Bundle,"Belt Pack, premium, Redesign",true,Size,Small,,,,,,,,PREMIUMPACK-STEEL-SM,1230.48,shopify,1,deny,manual,379.48,505.97,true,true,,https://cdn.shopify.com/s/files/1/1310/9209/files/PremiumPackISO3_1.jpg?v=1740516146,1,"",false,Premium Pack | Ultimate Belt and Buckle Set by GRIP6,"Upgrade your collection with the GRIP6 Premium Pack. Includes a versatile set of belts and buckles, crafted for durability, comfort, and style.",,,,,,,,,,,,,,,,,,TRUE,,,,,,,shipping,,,,,our-warranty,buckle-specs,,'51,,,,,,,,,,,,,g,PC040108,,true,,,true,,,true,,,true,,,active
premium-pack,,,,,,,,,Medium,,,,,,,,PREMIUMPACK-STEEL-MD,1230.48,shopify,1,deny,manual,379.48,505.97,true,true,,https://cdn.shopify.com/s/files/1/1310/9209/files/PremiumPackISO5_1.jpg?v=1740516146,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,PC040108,,,,,,,,,,,,,,
premium-pack,,,,,,,,,Large,,,,,,,,PREMIUMPACK-STEEL-LG,1230.48,shopify,1,deny,manual,379.48,505.97,true,true,,https://cdn.shopify.com/s/files/1/1310/9209/files/PremiumPackISO4_1.jpg?v=1740516146,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,PC040108,,,,,,,,,,,,,,
premium-pack,,,,,,,,,XL,,,,,,,,PREMIUMPACK-STEEL-XL,1230.48,shopify,1,deny,manual,379.48,505.97,true,true,,https://cdn.shopify.com/s/files/1/1310/9209/files/PremiumPackISO8_1.jpg?v=1740516146,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,PC040108,,,,,,,,,,,,,,
premium-pack,,,,,,,,,XXL,,,,,,,,PREMIUMPACK-STEEL-XXL,1230.48,shopify,1,deny,manual,379.48,505.97,true,true,,https://cdn.shopify.com/s/files/1/1310/9209/files/PremiumPackISO7_1.jpg?v=1740516146,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,PC040108,,,,,,,,,,,,,,
premium-pack,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1310/9209/files/PremiumPackISO1_1.jpg?v=1740516146,6,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
premium-pack,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1310/9209/files/PremiumPackISO6_1.jpg?v=1740516146,7,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
usa-flag-belt,USA Heritage Flag Belt,"<p>Show your patriotism with the USA Flag Belt by GRIP6. Featuring a bold American flag buckle and a durable strap, this belt is built for strength and comfort. Perfect for outdoor adventures or everyday wear, it offers a secure fit with a timeless design that proudly displays your American pride.</p>",GRIP6,Apparel & Accessories > Clothing Accessories > Belts,Belt,"Belt, Complete Belt, Pack Builder, Redesign",true,Color,Raven,,Size,Small(26-30),,,,,C-UVFLAG-Raven-30,157.03,shopify,22,deny,manual,57.99,,true,true,,https://cdn.shopify.com/s/files/1/1310/9209/products/USAColorElementRaven.jpg?v=1708731919,1,rustic American flag belt buckle with black belt strap swatch-image,false,American Flag Belt | Vintage USA Flag Buckle by GRIP6,"Show your patriotism with the GRIP6 American Flag Belt. Featuring a vintage USA flag buckle, this belt blends style, durability, and American pride.",Apparel & Accessories > Clothing Accessories > Belts,male,adult,,new,TRUE,,,,,,,,,,,,,,,,Belts,,,shipping,,,,,our-warranty,buckle-specs,TRUE,'16,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1310/9209/products/USAColorElementRaven.jpg?v=1708731919,g,PC040108,,true,,,true,,,true,,,true,,,active
usa-flag-belt,,,,,,,,,Raven,,,Medium(32-34),,,,,C-UVFLAG-Raven-34,157.03,shopify,22,deny,manual,57.99,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1310/9209/products/USAColorElementRaven.jpg?v=1708731919,g,PC040108,,,,,,,,,,,,,,
usa-flag-belt,,,,,,,,,Raven,,,Large(36-38),,,,,C-UVFLAG-Raven-38,157.03,shopify,22,deny,manual,57.99,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1310/9209/products/USAColorElementRaven.jpg?v=1708731919,g,PC040108,,,,,,,,,,,,,,
usa-flag-belt,,,,,,,,,Raven,,,X-Large(40-44),,,,,C-UVFLAG-Raven-44,157.03,shopify,22,deny,manual,57.99,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1310/9209/products/USAColorElementRaven.jpg?v=1708731919,g,PC040108,,,,,,,,,,,,,,
usa-flag-belt,,,,,,,,,Raven,,,XX-Large(46-50),,,,,C-UVFLAG-Raven-50,157.03,shopify,22,deny,manual,57.99,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1310/9209/products/USAColorElementRaven.jpg?v=1708731919,g,PC040108,,,,,,,,,,,,,,
titanium-contour-natural-belt,Titanium Contour Natural Belt,"<p>The Titanium Contour Natural Belt blends the lightweight durability of titanium with refined style. Featuring a corrosion-resistant buckle and an adjustable strap, this belt is built for outdoor adventures or everyday wear. Its minimalist design ensures comfort and strength in any setting.</p>",GRIP6,Apparel & Accessories > Clothing Accessories > Belts,Belt,"Belt, Complete Belt, Pack Builder, Redesign",true,Strap Color,Raven,,Size,Small(26-30),,,,,TI-Contour Natural-Raven-30,156.05,shopify,22,deny,manual,120.99,,true,true,,https://cdn.shopify.com/s/files/1/1310/9209/products/ContourNatural-Raven_6c463d56-1e06-46f9-98b1-39d6834266ae.jpg?v=1708731889,1,black belt with titanium belt buckle swatch-image,false,Titanium Belt | Contour Natural Design by GRIP6,"Experience the strength and style of the GRIP6 Titanium Belt. Featuring a natural contour design, it offers durability and a sleek look for any occasion.",Apparel & Accessories > Clothing Accessories > Belts,male,adult,,new,TRUE,,,,,,,,,,, Standard,,,,,Belts,,,shipping,,,,,our-warranty,titanium-buckle-specs,TRUE,'13,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1310/9209/products/ContourNatural-Raven_6c463d56-1e06-46f9-98b1-39d6834266ae.jpg?v=1708731889,g,PC040108,,true,,,true,,,true,,,true,,,active
titanium-contour-natural-belt,,,,,,,,,Raven,,,Medium(32-34),,,,,TI-Contour Natural-Raven-34,156.05,shopify,22,deny,manual,120.99,,true,true,,https://cdn.shopify.com/s/files/1/1310/9209/files/ContourNatural-Silver_f48d650b-729b-4a5a-90ab-99abf8ed2fdf.jpg?v=1728606407,2,light grey belt with titanium belt buckle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1310/9209/products/ContourNatural-Raven_6c463d56-1e06-46f9-98b1-39d6834266ae.jpg?v=1708731889,g,PC040108,,,,,,,,,,,,,,
titanium-contour-natural-belt,,,,,,,,,Raven,,,Large(36-38),,,,,TI-Contour Natural-Raven-38,156.05,shopify,22,deny,manual,120.99,,true,true,,https://cdn.shopify.com/s/files/1/1310/9209/files/ContourNatural-Timber_f57f2ec0-f97e-4ece-84a5-195c94f9be93.jpg?v=1728606407,3,tan belt with titanium belt buckle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1310/9209/products/ContourNatural-Raven_6c463d56-1e06-46f9-98b1-39d6834266ae.jpg?v=1708731889,g,PC040108,,,,,,,,,,,,,,
titanium-contour-natural-belt,,,,,,,,,Raven,,,X-Large(40-44),,,,,TI-Contour Natural-Raven-44,156.05,shopify,22,deny,manual,120.99,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1310/9209/products/ContourNatural-Raven_6c463d56-1e06-46f9-98b1-39d6834266ae.jpg?v=1708731889,g,PC040108,,,,,,,,,,,,,,
titanium-contour-natural-belt,,,,,,,,,Raven,,,XX-Large(46-50),,,,,TI-Contour Natural-Raven-50,156.05,shopify,22,deny,manual,120.99,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1310/9209/products/ContourNatural-Raven_6c463d56-1e06-46f9-98b1-39d6834266ae.jpg?v=1708731889,g,PC040108,,,,,,,,,,,,,,
titanium-contour-arctic-belt,Titanium Contour Arctic Belt,"<p>Introducing the Titanium Contour Arctic Belt, combining sleek design with the strength of titanium. This durable belt features a corrosion-resistant buckle and an adjustable strap, perfect for outdoor adventures or everyday wear. Lightweight yet tough, it delivers comfort and performance in any setting.</p>",GRIP6,Apparel & Accessories > Clothing Accessories > Belts,Belt,"Belt, Complete Belt, Pack Builder, Redesign",true,Strap Color,Raven,,Size,Small(26-30),,,,,TI-Contour Artic-Raven-30,156.05,shopify,20,deny,manual,120.99,,true,true,,https://cdn.shopify.com/s/files/1/1310/9209/products/ContourArctic-Raven_322d1391-5131-4e32-94c7-be456ae2f23e.jpg?v=1708731885,1,black belt with titanium buckle swatch-image,false,Titanium Belt | Contour Arctic Blue Design by GRIP6,"Discover the GRIP6 Titanium Belt with Contour Arctic Blue design. Crafted for durability, comfort, and a sleek look, perfect for any adventure or everyday wear.",Apparel & Accessories > Clothing Accessories > Belts,male,adult,,new,TRUE,,,,,,,,,,,Standard,,,,,Belts,,,shipping,,,,,our-warranty,titanium-buckle-specs,TRUE,'15,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1310/9209/products/ContourArctic-Raven_322d1391-5131-4e32-94c7-be456ae2f23e.jpg?v=1708731885,g,PC040108,,true,,,true,,,true,,,true,,,active
titanium-contour-arctic-belt,,,,,,,,,Raven,,,X-Large(40-44),,,,,TI-Contour Artic-Raven-44,156.05,shopify,20,deny,manual,120.99,,true,true,,https://cdn.shopify.com/s/files/1/1310/9209/files/Standard_8ff1e123-9f46-4058-b4fb-a63593e0b156.jpg?v=1728606403,2,belt buckle size chart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1310/9209/products/ContourArctic-Raven_322d1391-5131-4e32-94c7-be456ae2f23e.jpg?v=1708731885,g,PC040108,,,,,,,,,,,,,,
titanium-contour-arctic-belt,,,,,,,,,Raven,,,XX-Large(46-50),,,,,TI-Contour Artic-Raven-50,156.05,shopify,20,deny,manual,120.99,,true,true,,https://cdn.shopify.com/s/files/1/1310/9209/files/putonabeltsquare-Male_332c8ba4-d94d-4622-b9f7-b3d66d966014.gif?v=1728606403,3,how to put on a belt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1310/9209/products/ContourArctic-Raven_322d1391-5131-4e32-94c7-be456ae2f23e.jpg?v=1708731885,g,PC040108,,,,,,,,,,,,,,
titanium-contour-arctic-belt,,,,,,,,,Raven,,,Large(36-38),,,,,TI-Contour Artic-Raven-38,156.05,shopify,20,deny,manual,120.99,,true,true,,https://cdn.shopify.com/s/files/1/1310/9209/files/ContourArctic-Silver_fd259ac8-7c55-4f42-9639-382c8098bd08.jpg?v=1728606403,4,grey belt strap with titanium belt buckle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1310/9209/products/ContourArctic-Raven_322d1391-5131-4e32-94c7-be456ae2f23e.jpg?v=1708731885,g,PC040108,,,,,,,,,,,,,,
titanium-contour-arctic-belt,,,,,,,,,Raven,,,Medium(32-34),,,,,TI-Contour Artic-Raven-34,156.05,shopify,20,deny,manual,120.99,,true,true,,https://cdn.shopify.com/s/files/1/1310/9209/files/ContourArctic-Timber_621a2cca-0cd2-4183-abf4-6f5099dad984.jpg?v=1728606403,5,tan belt strap with titanium belt buckle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1310/9209/products/ContourArctic-Raven_322d1391-5131-4e32-94c7-be456ae2f23e.jpg?v=1708731885,g,PC040108,,,,,,,,,,,,,,
forged-carbon-fiber-belt,Forged Carbon Fiber Belt,"<p>Introducing the Forged Carbon Fiber Belt, a perfect fusion of strength and style. Crafted from lightweight, durable carbon fiber, this belt is designed to withstand the elements while offering a sleek, modern look. Ideal for everyday wear or outdoor adventures, it’s built to last and impress.</p>",GRIP6,Apparel & Accessories > Clothing Accessories > Belts,Belt,"Belt, Complete Belt, Pack Builder, Redesign",true,Color,Raven,,Size,Small(26-30),,,,,CF-Forged Carbon-Raven-30,170.6,shopify,25,deny,manual,132.99,,true,true,'00194794065502,https://cdn.shopify.com/s/files/1/1310/9209/files/ForgedCarbonRAvenStrap_1.jpg?v=1731446873,1,black belt with carbon fiber buckle,false,"Carbon Fiber Belt | Sleek, Durable Forged Carbon Fiber by GRIP6","Discover the GRIP6 Carbon Fiber Belt with a lightweight, durable forged carbon fiber belt buckle. Stylish, strong, and fully adjustable for any occasion.",Apparel & Accessories > Clothing Accessories > Belts,male,adult,,new,TRUE,,,,,,,,,,,Standard,,,,,Belts,why-choose-a-grip-6-belt,,shipping,,,,,our-warranty,carbon-fiber-buckle-specs,TRUE,'64,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1310/9209/files/ForgedCarbonRAvenStrap_1.jpg?v=1731446873,g,PC040108,,true,,,true,,,true,,,true,,,active
forged-carbon-fiber-belt,,,,,,,,,Raven,,,Medium(32-34),,,,,CF-Forged Carbon-Raven-34,170.6,shopify,25,deny,manual,132.99,,true,true,'00194794065526,https://cdn.shopify.com/s/files/1/1310/9209/files/forged6.jpg?v=1731441686,2,carbon fiber belt buckle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1310/9209/files/ForgedCarbonRAvenStrap_1.jpg?v=1731446873,g,PC040108,,,,,,,,,,,,,,
forged-carbon-fiber-belt,,,,,,,,,Raven,,,Large(36-38),,,,,CF-Forged Carbon-Raven-38,170.6,shopify,25,deny,manual,132.99,,true,true,'00194794065540,https://cdn.shopify.com/s/files/1/1310/9209/files/putonabeltsquare-Male_a37f985b-24cd-4f90-a940-aa892f32c907.gif?v=1728606038,3,how to put on a belt gif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1310/9209/files/ForgedCarbonRAvenStrap_1.jpg?v=1731446873,g,PC040108,,,,,,,,,,,,,,
forged-carbon-fiber-belt,,,,,,,,,Raven,,,X-Large(40-44),,,,,CF-Forged Carbon-Raven-44,170.6,shopify,25,deny,manual,132.99,,true,true,'00194794065571,https://cdn.shopify.com/s/files/1/1310/9209/files/ForgedCarbonKodiakStrap_1.jpg?v=1731446876,4,brown belt with carbon fiber buckle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1310/9209/files/ForgedCarbonRAvenStrap_1.jpg?v=1731446873,g,PC040108,,,,,,,,,,,,,,
forged-carbon-fiber-belt,,,,,,,,,Raven,,,XX-Large(46-50),,,,,CF-Forged Carbon-Raven-50,170.6,shopify,25,deny,manual,132.99,,true,true,'00194794073507,https://cdn.shopify.com/s/files/1/1310/9209/files/ForgedCarbonBluejayStrap_1.jpg?v=1731446878,5,blue belt with carbon fiber buckle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1310/9209/files/ForgedCarbonRAvenStrap_1.jpg?v=1731446873,g,PC040108,,,,,,,,,,,,,,
